record_index,reason,status,imu_samples,imu_gap_ns,input_points,filtered_points,queries,accepted_residuals,residual_rms,iterations,final_increment_norm,map_points,prediction_us,deskew_us,preprocessing_us,residual_build_us,ikfom_update_us,map_insert_crop_us,snapshot_us,total_processing_us
178,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,8,6282941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,8,6255742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,7,6050873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,LiDAR scans overlap a previously propagated interval,COLLECTING_IMU,7,6050873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,14,6209376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,LiDAR scans overlap a previously propagated interval,COLLECTING_IMU,14,6209376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,14,6145980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,7,6143463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,8,6094636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,SCAN_PRECEDES_IMU_INITIALIZATION_EPOCH,INITIALIZING_MAP,8,6161498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,INITIAL_MAP_REFERENCE_CAPTURED,INITIALIZING_MAP,8,6161498,6528,2206,0,0,0,0,0,0,159,802,241,0,0,0,0,0
253,IKFOM_LIDAR_UPDATE_NOT_CONVERGED,INITIALIZING_MAP,8,6181429,6528,641,641,185,0.128659,10,0.0177399,0,144,940,132,7929,8655,0,0,0
259,LiDAR scans overlap a previously propagated interval,INITIALIZING_MAP,8,6181429,6528,641,641,185,0.128659,10,0.0177399,0,144,940,132,7929,8655,0,0,0
266,,TRACKING,13,6140687,6528,2196,2196,1426,0.104139,6,0.000939151,3842,222,898,196,21440,24368,23322,222,49362
273,LiDAR scans overlap a previously propagated interval,TRACKING,13,6140687,6528,2196,2196,1426,0.104139,6,0.000939151,3842,222,898,196,21440,24368,23322,222,49362
280,,TRACKING,14,6264639,6528,2064,2064,1653,0.0821793,7,0.00132941,5101,244,883,212,24277,27839,2175,222,31523
286,,TRACKING,7,6153689,6528,2224,2224,1828,0.0820165,6,0.000122784,6498,115,898,199,24293,27799,2405,222,31596
293,,TRACKING,8,6240609,6528,648,648,150,0.152912,5,2.90041e-05,7012,133,920,91,4528,4854,1388,222,7473
300,,TRACKING,8,6155710,6528,2072,2072,1759,0.0730036,10,1.6103e-05,8092,131,916,186,38418,43918,1861,222,47141
307,,TRACKING,8,6072066,6528,2126,2126,1855,0.0597508,6,0.000633811,8981,133,898,197,23144,26532,1884,222,29822
314,,TRACKING,8,6092615,6528,689,689,537,0.083543,4,4.24771e-05,9308,132,899,87,5223,5900,903,222,8022
320,LiDAR scans overlap a previously propagated interval,TRACKING,8,6092615,6528,689,689,537,0.083543,4,4.24771e-05,9308,132,899,87,5223,5900,903,222,8022
327,,TRACKING,13,6327435,6528,2045,2045,1815,0.0603557,7,2.61918e-06,10086,212,900,198,26806,30823,1905,222,34196
334,LiDAR scans overlap a previously propagated interval,TRACKING,13,6327435,6528,2045,2045,1815,0.0603557,7,2.61918e-06,10086,212,900,198,26806,30823,1905,222,34196
341,,TRACKING,14,6327435,6528,2005,2005,1776,0.0677957,5,0.000458005,10869,247,945,206,20007,22884,2009,222,26508
348,,TRACKING,7,6060256,6528,2070,2070,1887,0.0567379,4,1.89749e-05,11592,117,924,207,16082,18542,1848,846,22677
354,LiDAR scans overlap a previously propagated interval,TRACKING,7,6060256,6528,2070,2070,1887,0.0567379,4,1.89749e-05,11592,117,924,207,16082,18542,1848,846,22677
361,,TRACKING,14,6213827,6528,1937,1937,1681,0.066663,6,0.00080908,12303,245,902,197,23432,26633,1781,846,29942
368,,TRACKING,8,6103468,6528,2121,2121,1950,0.0500243,4,0.000171151,12878,131,901,233,16176,18741,1775,846,21988
375,,TRACKING,8,6162657,6528,645,645,546,0.0708964,3,0.000155466,13080,131,904,86,3903,4442,595,846,6259
381,LiDAR scans overlap a previously propagated interval,TRACKING,8,6162657,6528,645,645,546,0.0708964,3,0.000155466,13080,131,904,86,3903,4442,595,846,6259
388,,TRACKING,13,6343167,6528,2188,2188,2001,0.0511195,4,0.000385677,13677,212,911,211,17071,19779,2162,846,23455
395,LiDAR scans overlap a previously propagated interval,TRACKING,13,6343167,6528,2188,2188,2001,0.0511195,4,0.000385677,13677,212,911,211,17071,19779,2162,846,23455
402,,TRACKING,14,6095637,6528,1715,1715,1472,0.0591798,5,0.000208352,14181,243,947,171,18051,20433,1541,846,23506
409,,TRACKING,8,6176446,6528,2102,2102,1970,0.0459673,4,0.000365854,14716,133,921,212,16203,18667,1997,846,22129
416,,TRACKING,7,6010196,6528,878,878,695,0.0654959,3,0.000261869,14932,118,925,138,5995,6670,801,846,8782
422,,TRACKING,8,6118745,6528,1680,1680,1432,0.0607785,3,5.92436e-05,15383,130,898,204,10431,11762,1363,846,14498
429,,TRACKING,8,6066391,6528,2065,2065,1942,0.0407222,3,0.000314436,15782,129,896,205,11979,13845,1703,846,16983
436,,TRACKING,8,7028744,6528,1024,1024,857,0.0589812,4,6.58078e-07,16017,129,926,124,8495,9667,826,1288,13118
442,LiDAR scans overlap a previously propagated interval,TRACKING,8,7028744,6528,1024,1024,857,0.0589812,4,6.58078e-07,16017,129,926,124,8495,9667,826,1288,13118
449,,TRACKING,13,6228599,6528,2003,2003,1894,0.0432909,3,0.000290489,16433,224,949,232,11870,13681,1553,1288,16818
456,LiDAR scans overlap a previously propagated interval,TRACKING,13,6228599,6528,2003,2003,1894,0.0432909,3,0.000290489,16433,224,949,232,11870,13681,1553,1288,16818
463,,TRACKING,14,6325155,6528,1573,1573,1342,0.0536606,4,0.000196776,16758,232,921,158,13567,15246,1384,1288,18112
470,,TRACKING,8,6062668,6528,1893,1893,1799,0.0358493,3,0.00022652,16997,138,943,216,11252,12967,1445,1288,15882
476,,TRACKING,7,6123301,6528,1246,1246,1034,0.0484004,3,1.01416e-05,17150,115,918,134,8464,9546,969,1288,11826
483,LiDAR scans overlap a previously propagated interval,TRACKING,7,6123301,6528,1246,1246,1034,0.0484004,3,1.01416e-05,17150,115,918,134,8464,9546,969,1288,11826
490,,TRACKING,14,6268920,6528,1952,1952,1861,0.0333399,3,0.000135393,17430,240,920,220,11543,13407,1489,1288,16485
497,,TRACKING,8,6163277,6528,1358,1358,1171,0.0492059,4,2.35226e-06,17636,132,899,163,11823,13292,1119,1288,15786
504,LiDAR scans overlap a previously propagated interval,TRACKING,8,6163277,6528,1358,1358,1171,0.0492059,4,2.35226e-06,17636,132,899,163,11823,13292,1119,1288,15786
510,,TRACKING,13,6225605,6528,1965,1965,1882,0.0354527,3,0.00015604,17847,220,928,209,11943,13852,1273,1288,16670
517,LiDAR scans overlap a previously propagated interval,TRACKING,13,6225605,6528,1965,1965,1882,0.0354527,3,0.00015604,17847,220,928,209,11943,13852,1273,1288,16670
524,,TRACKING,14,6225605,6528,1273,1273,1029,0.0504711,4,5.06924e-05,18026,234,925,142,11423,12703,1051,1288,15204
531,,TRACKING,8,6156349,6528,1939,1939,1840,0.0345846,3,4.55282e-05,18246,133,924,213,11927,13826,1514,1288,16779
538,,TRACKING,7,6198552,6528,1533,1533,1278,0.047252,3,2.94344e-05,18439,113,928,157,10175,11372,1197,1434,15357
544,,TRACKING,8,6198552,6528,1131,1131,931,0.065349,3,6.36158e-05,18707,138,922,180,7913,8832,1037,1434,11288
551,,TRACKING,8,6111818,6528,2044,2044,1917,0.0406458,3,0.000362052,19017,135,920,214,12370,14213,1580,1434,17250
558,,TRACKING,8,6106792,6528,1551,1551,1300,0.0578792,3,0.000329582,19330,132,915,188,10402,11607,1429,1434,14466
565,LiDAR scans overlap a previously propagated interval,TRACKING,8,6106792,6528,1551,1551,1300,0.0578792,3,0.000329582,19330,132,915,188,10402,11607,1429,1434,14466
572,,TRACKING,14,6260632,6528,1983,1983,1867,0.0393241,3,0.000127089,19642,234,922,215,12000,13773,1651,1434,17009
578,LiDAR scans overlap a previously propagated interval,TRACKING,14,6260632,6528,1983,1983,1867,0.0393241,3,0.000127089,19642,234,922,215,12000,13773,1651,1434,17009
585,,TRACKING,13,6253282,6528,909,909,741,0.0478141,4,1.32828e-06,19745,214,913,183,8115,9063,749,1434,11277
592,,TRACKING,8,6108772,6528,2098,2098,1945,0.0404347,3,0.00019304,20085,129,904,206,13140,14999,1715,1434,18172
599,,TRACKING,8,6043175,6528,1751,1751,1502,0.0486809,3,0.000226803,20392,129,900,176,11292,12714,1557,1434,15668
605,,TRACKING,7,6035877,6528,830,830,658,0.0512716,3,1.85274e-06,20527,111,915,94,5563,6206,734,1434,8172
612,,TRACKING,8,6232288,6528,2059,2059,1925,0.0395899,3,4.19555e-05,20830,132,908,212,12514,14313,1498,1434,17224
619,,TRACKING,8,7853394,6528,1884,1884,1625,0.0542263,3,0.000107976,21186,129,921,180,12678,14223,1861,1680,19198
626,LiDAR scans overlap a previously propagated interval,TRACKING,8,7853394,6528,1884,1884,1625,0.0542263,3,0.000107976,21186,129,921,180,12678,14223,1861,1680,19198
633,,TRACKING,14,7853394,6528,2011,2011,1863,0.036862,3,9.40213e-05,21408,235,922,205,12329,14078,1677,1680,17333
639,LiDAR scans overlap a previously propagated interval,TRACKING,14,7853394,6528,2011,2011,1863,0.036862,3,9.40213e-05,21408,235,922,205,12329,14078,1677,1680,17333
646,,TRACKING,13,7241891,6528,750,750,587,0.0475553,3,0.000240506,21484,222,904,112,4980,5562,623,1680,7552
653,,TRACKING,8,6075007,6528,2082,2082,1897,0.0415694,3,0.000208087,21781,125,895,201,13114,14999,1849,1680,18280
660,,TRACKING,8,6127479,6528,2084,2084,1808,0.0488665,3,4.72806e-05,22096,131,925,212,13546,15221,1896,1680,18591
666,,TRACKING,7,6067102,6528,692,692,517,0.0492124,3,6.6785e-05,22173,110,895,91,4508,5026,610,1680,6837
673,,TRACKING,8,6200264,6528,2085,2085,1873,0.0427952,3,0.000130929,22448,129,936,233,13128,15009,1877,1680,18352
680,,TRACKING,8,6031271,6528,2048,2048,1794,0.0456858,3,0.000183179,22744,132,896,202,13366,15081,1743,1680,18244
687,LiDAR scans overlap a previously propagated interval,TRACKING,8,6031271,6528,2048,2048,1794,0.0456858,3,0.000183179,22744,132,896,202,13366,15081,1743,1680,18244
694,,TRACKING,14,6084160,6528,2166,2166,1951,0.0378118,3,0.000188484,22977,223,900,218,13468,15295,1922,1680,18778
700,LiDAR scans overlap a previously propagated interval,TRACKING,14,6084160,6528,2166,2166,1951,0.0378118,3,0.000188484,22977,223,900,218,13468,15295,1922,1680,18778
707,,TRACKING,13,6186815,6528,642,642,491,0.042177,3,8.90049e-05,23022,216,878,93,3933,4412,419,1680,6129
714,,TRACKING,8,6174341,6528,2189,2189,1954,0.0430836,3,0.000385522,23306,121,873,195,13846,15846,2028,1934,21193
721,,TRACKING,8,6240216,6528,2051,2051,1808,0.0411965,2,0.000261392,23567,131,894,191,8421,9527,1716,1934,12648
727,,TRACKING,7,6066331,6528,596,596,462,0.0439218,3,5.42213e-05,23616,112,897,81,3813,4275,424,1934,5874
734,,TRACKING,8,6026715,6528,2215,2215,1964,0.0389344,3,0.000118459,23862,127,920,210,14213,15992,1761,1934,19167
741,,TRACKING,8,6076210,6528,2077,2077,1867,0.0391577,3,0.000183961,24122,127,898,194,13453,15252,1781,1934,18464
748,LiDAR scans overlap a previously propagated interval,TRACKING,8,6076210,6528,2077,2077,1867,0.0391577,3,0.000183961,24122,127,898,194,13453,15252,1781,1934,18464
755,,TRACKING,14,6322338,6528,2205,2205,1936,0.0410272,3,0.000213437,24376,227,910,258,14834,16808,2523,1934,21013
761,LiDAR scans overlap a previously propagated interval,TRACKING,14,6322338,6528,2205,2205,1936,0.0410272,3,0.000213437,24376,227,910,258,14834,16808,2523,1934,21013
768,,TRACKING,13,6154549,6528,511,511,394,0.0444634,3,6.62763e-05,24413,259,925,87,3368,3785,365,1934,5550
775,,TRACKING,8,6160570,6528,2176,2176,1868,0.0412318,3,0.000308483,24668,125,894,210,14919,16744,1963,1934,20151
782,,TRACKING,8,6138127,6528,2195,2195,1951,0.0401463,3,5.34884e-05,24879,133,923,232,13851,15680,1741,1934,18933
789,LiDAR scans overlap a previously propagated interval,TRACKING,8,6138127,6528,2195,2195,1951,0.0401463,3,5.34884e-05,24879,133,923,232,13851,15680,1741,1934,18933
795,,TRACKING,13,6064567,6528,1977,1977,1738,0.0442282,3,0.000237758,25091,213,922,204,13099,14724,1557,1934,17834
802,,TRACKING,8,6248041,6528,2284,2284,2053,0.0381469,3,7.8961e-05,25298,128,919,227,14783,16753,1736,1964,21959
809,LiDAR scans overlap a previously propagated interval,TRACKING,8,6248041,6528,2284,2284,2053,0.0381469,3,7.8961e-05,25298,128,919,227,14783,16753,1736,1964,21959
816,,TRACKING,14,6309951,6528,1889,1889,1600,0.0403188,3,0.000246985,25469,229,927,186,12132,13614,1432,1964,16586
822,LiDAR scans overlap a previously propagated interval,TRACKING,14,6309951,6528,1889,1889,1600,0.0403188,3,0.000246985,25469,229,927,186,12132,13614,1432,1964,16586
829,,TRACKING,13,6231645,6528,702,702,519,0.0453367,3,5.96241e-07,25518,209,912,123,4792,5321,529,1964,7239
836,,TRACKING,8,6123249,6528,1814,1814,1492,0.0456085,3,0.00043174,25709,138,900,184,12195,13616,1418,1964,16396
843,,TRACKING,8,6057319,6528,2221,2221,2006,0.0362955,3,0.000128342,25903,131,898,222,14154,16041,1559,1964,19052
850,,TRACKING,8,6176819,6528,784,784,583,0.0429932,3,0.000100289,25951,125,919,99,5321,5908,585,1964,7765
856,,TRACKING,7,6199429,6528,1785,1785,1501,0.041962,3,0.000153095,26129,109,906,173,12053,13482,1360,1964,16172
863,,TRACKING,8,6233088,6528,2108,2108,1936,0.0332534,3,5.66469e-05,26298,127,902,227,12999,14836,1709,1964,18047
870,LiDAR scans overlap a previously propagated interval,TRACKING,8,6233088,6528,2108,2108,1936,0.0332534,3,5.66469e-05,26298,127,902,227,12999,14836,1709,1964,18047
877,,TRACKING,14,6190673,6528,1782,1782,1457,0.0453271,3,0.000155294,26490,230,924,210,12200,13588,1532,1964,16688
884,LiDAR scans overlap a previously propagated interval,TRACKING,14,6190673,6528,1782,1782,1457,0.0453271,3,0.000155294,26490,230,924,210,12200,13588,1532,1964,16688
890,,TRACKING,13,6190673,6528,983,983,723,0.0424716,3,8.07651e-07,26552,209,925,114,7019,7761,770,1964,9905
897,,TRACKING,8,6124635,6528,1685,1685,1327,0.0440018,3,0.000193937,26708,129,922,201,11711,12985,1393,2145,17931
904,,TRACKING,8,7597871,6528,2060,2060,1895,0.0356979,3,5.14744e-05,26889,126,924,213,13117,14943,1459,2145,17847
911,,TRACKING,8,6168447,6528,1087,1087,849,0.0431537,2,7.18847e-05,26959,127,922,127,5144,5689,845,2145,7850
917,,TRACKING,8,6142063,6528,1593,1593,1282,0.0452435,3,0.000121873,27087,127,917,153,11495,12763,1302,2145,15401
924,,TRACKING,8,6041191,6528,1967,1967,1855,0.0322715,3,6.09843e-05,27234,129,930,218,11851,13578,1298,2145,16328
931,LiDAR scans overlap a previously propagated interval,TRACKING,8,6041191,6528,1967,1967,1855,0.0322715,3,6.09843e-05,27234,129,930,218,11851,13578,1298,2145,16328
938,,TRACKING,13,6166832,6528,1519,1519,1189,0.0455857,3,0.000121105,27378,213,925,188,10727,11879,1190,2145,14574
945,LiDAR scans overlap a previously propagated interval,TRACKING,13,6166832,6528,1519,1519,1189,0.0455857,3,0.000121105,27378,213,925,188,10727,11879,1190,2145,14574
952,,TRACKING,13,6166832,6528,1215,1215,938,0.0424419,3,0.000222,27446,208,924,126,8328,9204,1006,2145,11591
958,,TRACKING,8,6217267,6528,1305,1305,1022,0.0417049,3,0.000106725,27524,129,926,162,9388,10366,980,2145,12710
965,,TRACKING,8,6316720,6528,1937,1937,1795,0.0290348,3,0.000265495,27625,132,906,207,11649,13287,1677,2145,16393
972,,TRACKING,8,6132002,6528,1273,1273,970,0.0416661,3,7.68535e-05,27699,128,971,188,9313,10277,1013,2145,12745
978,,TRACKING,8,6274929,6528,1260,1260,955,0.0439864,3,0.000249825,27768,130,922,146,9290,10242,1005,2549,15109
985,,TRACKING,8,6212750,6528,1985,1985,1831,0.0285052,3,0.000111386,27876,130,920,218,11817,13534,1215,2549,16198
992,LiDAR scans overlap a previously propagated interval,TRACKING,8,6212750,6528,1985,1985,1831,0.0285052,3,0.000111386,27876,130,920,218,11817,13534,1215,2549,16198
999,,TRACKING,13,6044764,6528,1193,1193,889,0.0421245,3,8.77369e-05,27949,195,903,126,8437,9308,1141,2549,11827
1006,LiDAR scans overlap a previously propagated interval,TRACKING,13,6044764,6528,1193,1193,889,0.0421245,3,8.77369e-05,27949,195,903,126,8437,9308,1141,2549,11827
1013,,TRACKING,14,6250900,6528,1512,1512,1206,0.0435168,3,0.000466424,28085,227,923,164,10510,11616,1287,2549,14353
1019,,TRACKING,7,6125551,6528,1021,1021,724,0.0436858,3,0.00017349,28130,112,942,111,6945,7637,799,2549,9713
1026,,TRACKING,8,6154492,6528,2011,2011,1870,0.0322437,3,0.000329621,28234,127,900,222,12934,14622,1192,2549,17302
1033,,TRACKING,8,6192102,6528,1641,1641,1303,0.0467406,3,0.000136339,28377,121,827,160,10834,12020,1384,2549,14674
1040,,TRACKING,8,6109822,6528,1025,1025,748,0.0415083,3,9.12042e-05,28434,117,890,117,6956,7652,761,2549,9649
1046,,TRACKING,8,6106159,6528,2039,2039,1868,0.0329624,3,0.000160915,28587,127,896,212,12760,14566,1370,2549,17343
1053,LiDAR scans overlap a previously propagated interval,TRACKING,8,6106159,6528,2039,2039,1868,0.0329624,3,0.000160915,28587,127,896,212,12760,14566,1370,2549,17343
1060,,TRACKING,13,6354611,6528,948,948,687,0.0395096,3,0.000142063,28614,199,895,124,6556,7208,631,2549,9176
1067,LiDAR scans overlap a previously propagated interval,TRACKING,13,6354611,6528,948,948,687,0.0395096,3,0.000142063,28614,199,895,124,6556,7208,631,2549,9176
1074,,TRACKING,14,6199322,6528,1808,1808,1440,0.0415475,3,0.000143781,28718,226,924,180,12812,14225,1405,2258,19368
1081,,TRACKING,8,6206927,6528,798,798,571,0.0376535,3,2.9439e-05,28741,125,896,98,5463,6022,638,2258,7890
1087,,TRACKING,7,6194187,6528,2046,2046,1852,0.0318932,3,0.000152232,28866,117,905,212,13064,14845,1383,2258,17622
1094,,TRACKING,8,6127763,6528,1869,1869,1570,0.0418844,3,0.000207733,29035,125,964,204,13169,14680,1596,2258,17772
1101,,TRACKING,8,6097116,6528,740,740,515,0.0413934,3,7.0944e-05,29069,130,921,102,5275,5821,557,2258,7636
1108,,TRACKING,8,6157477,6528,2214,2214,1988,0.0358891,3,0.000147981,29216,138,980,235,15293,17268,1781,2258,20610
1114,LiDAR scans overlap a previously propagated interval,TRACKING,8,6157477,6528,2214,2214,1988,0.0358891,3,0.000147981,29216,138,980,235,15293,17268,1781,2258,20610
1121,,TRACKING,13,6110296,6528,687,687,452,0.0414798,3,0.000129069,29239,210,923,108,4815,5288,470,2258,7114
1128,LiDAR scans overlap a previously propagated interval,TRACKING,13,6110296,6528,687,687,452,0.0414798,3,0.000129069,29239,210,923,108,4815,5288,470,2258,7114
1135,,TRACKING,14,6249659,6528,1922,1922,1604,0.0425156,3,0.00016458,29371,225,899,214,13369,14940,2141,2258,18592
1142,,TRACKING,8,6107197,6528,628,628,422,0.044129,3,9.44145e-05,29394,121,867,91,4077,4503,404,2258,6091
1148,,TRACKING,7,6211712,6528,2275,2275,2001,0.0369823,3,0.000157418,29548,101,869,204,14517,16362,1718,2258,19445
1155,LiDAR scans overlap a previously propagated interval,TRACKING,7,6211712,6528,2275,2275,2001,0.0369823,3,0.000157418,29548,101,869,204,14517,16362,1718,2258,19445
1162,,TRACKING,14,6182719,6528,551,551,370,0.0418221,3,1.5492e-05,29569,225,954,123,3713,4108,464,2529,8531
1169,,TRACKING,8,7842726,6528,2199,2199,1945,0.0357223,3,0.00025913,29727,132,913,207,14777,16605,1641,2529,19684
1175,LiDAR scans overlap a previously propagated interval,TRACKING,8,7842726,6528,2199,2199,1945,0.0357223,3,0.00025913,29727,132,913,207,14777,16605,1641,2529,19684
1182,,TRACKING,13,6183780,6528,523,523,352,0.0388237,3,0.000165589,29741,211,1033,86,3586,3971,335,2529,5738
1189,LiDAR scans overlap a previously propagated interval,TRACKING,13,6183780,6528,523,523,352,0.0388237,3,0.000165589,29741,211,1033,86,3586,3971,335,2529,5738
1196,,TRACKING,14,6317032,6528,2261,2261,1932,0.0359632,2,0.000365565,29898,229,1011,215,10168,11403,1938,2529,14972
1202,,TRACKING,8,6110749,6528,469,469,307,0.0468586,3,0.000194416,29923,131,929,104,3415,3816,324,2529,5433
1209,LiDAR scans overlap a previously propagated interval,TRACKING,8,6110749,6528,469,469,307,0.0468586,3,0.000194416,29923,131,929,104,3415,3816,324,2529,5433
1216,,TRACKING,13,6272193,6528,2260,2260,1948,0.0372766,3,0.000211632,30074,211,922,228,15202,17013,2635,2529,21177
1223,,TRACKING,8,6088186,6528,583,583,405,0.0418581,3,6.12144e-06,30095,165,977,92,4091,4571,368,2529,6318
1230,,TRACKING,8,6088186,6528,2002,2002,1735,0.0387845,3,0.000140654,30230,133,901,260,12814,14474,1394,2529,17327
1237,LiDAR scans overlap a previously propagated interval,TRACKING,8,6088186,6528,2002,2002,1735,0.0387845,3,0.000140654,30230,133,901,260,12814,14474,1394,2529,17327
1244,,TRACKING,13,6261962,6528,667,667,478,0.0378849,3,6.57367e-05,30252,215,930,97,4224,4799,340,2529,6496
1250,LiDAR scans overlap a previously propagated interval,TRACKING,13,6261962,6528,667,667,478,0.0378849,3,6.57367e-05,30252,215,930,97,4224,4799,340,2529,6496
1257,,TRACKING,14,6160711,6528,2217,2217,1938,0.0343028,3,0.000390628,30404,233,921,208,14440,16256,1511,2529,19299
1264,,TRACKING,8,6068885,6528,652,652,446,0.0432625,3,3.42788e-05,30430,127,926,88,4118,4594,353,2684,8886
1271,,TRACKING,7,6129629,6528,1958,1958,1625,0.0386904,2,0.000511971,30567,121,1062,197,8662,9727,1470,2684,12749
1277,,TRACKING,8,6196344,6528,2183,2183,1942,0.0365027,3,0.000208215,30739,134,915,216,14286,16241,1552,2684,19263
1284,,TRACKING,8,6043049,6528,729,729,498,0.0372009,3,6.09018e-07,30760,125,897,98,4512,5016,396,2684,6641
1291,,TRACKING,8,6207121,6528,1962,1962,1610,0.0365216,3,9.05211e-05,30870,125,897,183,13223,14807,1619,2684,17789
1297,LiDAR scans overlap a previously propagated interval,TRACKING,8,6207121,6528,1962,1962,1610,0.0365216,3,9.05211e-05,30870,125,897,183,13223,14807,1619,2684,17789
1304,,TRACKING,13,7836286,6528,800,800,551,0.0419864,3,4.15472e-05,30895,212,877,114,5104,5668,463,2684,7444
1311,LiDAR scans overlap a previously propagated interval,TRACKING,13,7836286,6528,800,800,551,0.0419864,3,4.15472e-05,30895,212,877,114,5104,5668,463,2684,7444
1318,,TRACKING,14,6800036,6528,2059,2059,1840,0.0296729,3,0.000174924,30966,230,899,214,13214,15010,1313,2684,17851
1325,,TRACKING,8,6134807,6528,878,878,602,0.0361127,3,4.09688e-05,30978,129,892,112,5760,6356,502,2684,8102
