Field,Semantic cluster,Mapping confidence,Prior disposition,Source,Note
NavigationRuntimeNode.foreign_cancel_transition_epoch_,ExecutionSafetyDisposition,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:460,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.foreign_cancel_localization_epoch_,ExecutionSafetyDisposition,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:461,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.active_goal_epoch_,LocalizationEpoch,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:462,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.active_localization_epoch_,LocalizationEpoch,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:463,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.localization_epoch_ready_,LocalizationEpoch,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:464,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.last_registered_scan_epoch_,MeasuredStateHistory,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:465,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.last_registered_scan_sequence_,MeasuredStateHistory,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:466,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.last_propagated_state_stamp_ns_,MeasuredStateHistory,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:467,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.last_propagated_state_sequence_,MeasuredStateHistory,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:468,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.propagated_derivative_estimator_,MeasuredStateHistory,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:470,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.new_goal_,DesiredMissionIntent,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:471,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.hot_goal_transition_,DesiredMissionIntent,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:475,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.skip_replan_once_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:480,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.baseline_refinement_opportunity_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:482,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.plan_from_rest_first_failure_steady_ns_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:483,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.world_freshness_suspended_bundle_generation_,CommandLease,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:494,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.world_freshness_suspended_safety_suffix_active_,CommandLease,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:495,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.command_execution_lease_failure_latch_,CommandLease,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:499,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.last_execution_boundary_rejection_,ExecutionTransactionBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:504,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.last_execution_activation_generation_,ExecutionTransactionBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:509,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.last_execution_activation_started_steady_ns_,ExecutionTransactionBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:510,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.last_execution_activation_finished_steady_ns_,ExecutionTransactionBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:511,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.last_execution_activation_result_,ExecutionTransactionBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:512,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.last_command_sampled_generation_,ExecutionTransactionBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:513,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.last_command_sampled_steady_ns_,ExecutionTransactionBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:514,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.last_command_sampled_result_,ExecutionTransactionBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:515,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.last_watchdog_generation_,ExecutionTransactionBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:518,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.last_watchdog_event_steady_ns_,ExecutionTransactionBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:519,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.command_id_,ActiveExecutionIdentity,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:523,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.execution_transaction_id_,ActiveExecutionIdentity,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:524,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.command_goal_epoch_,ActiveExecutionIdentity,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:525,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.accepting_observations_,RuntimeInfrastructure,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:526,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.retained_decision_accounting_,Diagnostics,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:534,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.planner_solve_generation_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:535,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.active_planner_solve_generation_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:536,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.timed_out_planner_solve_generation_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:537,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.planner_timeline_activation_generation_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:538,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.queued_planner_timeline_activations_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:540,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.planner_solve_started_steady_ns_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:542,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.trajectory_completion_witness_,TemporalStopConfirmation,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:554,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.trajectory_reaches_goal_,TemporalStopConfirmation,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:555,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.terminal_bundle_generation_,TemporalStopConfirmation,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:560,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.last_cycle_started_steady_ns_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:571,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.last_planning_timer_expected_steady_ns_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:574,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.last_planning_callback_start_steady_ns_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:575,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.observation_accounting_,Diagnostics,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:580,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.end_to_end_samples_ms_,Diagnostics,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:582,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.world_snapshot_store_,LatestWorld,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:584,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.command_bundle_store_,ActiveExecutionIdentity,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:585,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.command_sampler_,RuntimeInfrastructure,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:586,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.mapping_telemetry_,Diagnostics,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:587,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.mapping_lifecycle_observer_,LatestWorld,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:588,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.mapping_worker_,LatestWorld,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:589,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.planner_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:590,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.planning_worker_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:591,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.heading_rebind_worker_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:592,Cluster is not a field disposition or D_f proof
NavigationRuntimeNode.pending_heading_rebind_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:594,Cluster is not a field disposition or D_f proof
ExecutionEpisodeSnapshot.localization_epoch,LocalizationEpoch,SOURCE_REVIEWED,KEEP,src/runtime/navigation_runtime/include/navigation_runtime/execution_episode.hpp:42,Cluster is not a field disposition or D_f proof
ExecutionEpisodeSnapshot.goal_epoch,DesiredMissionIntent,SOURCE_REVIEWED,MOVE,src/runtime/navigation_runtime/include/navigation_runtime/execution_episode.hpp:46,Cluster is not a field disposition or D_f proof
ExecutionEpisodeSnapshot.request_id,DesiredMissionIntent,SOURCE_REVIEWED,MOVE,src/runtime/navigation_runtime/include/navigation_runtime/execution_episode.hpp:47,Cluster is not a field disposition or D_f proof
ExecutionEpisodeSnapshot.active_command_goal_epoch,ActiveExecutionIdentity,SOURCE_REVIEWED,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/execution_episode.hpp:48,Cluster is not a field disposition or D_f proof
ExecutionEpisodeSnapshot.active_command_request_id,ActiveExecutionIdentity,SOURCE_REVIEWED,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/execution_episode.hpp:49,Cluster is not a field disposition or D_f proof
ExecutionEpisodeSnapshot.active_generation,ActiveExecutionIdentity,SOURCE_REVIEWED,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/execution_episode.hpp:50,Cluster is not a field disposition or D_f proof
ExecutionEpisodeSnapshot.phase,ExecutionSafetyDisposition,SOURCE_REVIEWED,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/execution_episode.hpp:51,Cluster is not a field disposition or D_f proof
ExecutionEpisodeSnapshot.command_available,ExecutionSafetyDisposition,SOURCE_REVIEWED,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/execution_episode.hpp:52,Cluster is not a field disposition or D_f proof
ExecutionEpisodeSnapshot.failure_latched,ExecutionSafetyDisposition,SOURCE_REVIEWED,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/execution_episode.hpp:53,Cluster is not a field disposition or D_f proof
ExecutionEpisodeSnapshot.safety_suffix_active,ExecutionSafetyDisposition,SOURCE_REVIEWED,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/execution_episode.hpp:54,Cluster is not a field disposition or D_f proof
ExecutionEpisodeSnapshot.restart_from_rest,ExecutionSafetyDisposition,SOURCE_REVIEWED,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/execution_episode.hpp:55,Cluster is not a field disposition or D_f proof
ExecutionEpisodeSnapshot.recovery_state,ExecutionSafetyDisposition,SOURCE_REVIEWED,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/execution_episode.hpp:60,Cluster is not a field disposition or D_f proof
ExecutionTimelineStore.active_goal_epoch_,ActiveExecutionIdentity,SOURCE_REVIEWED,UNRESOLVED,src/execution/navigation_execution/include/navigation_execution/committed_bundle_store.hpp:822,Cluster is not a field disposition or D_f proof
ExecutionTimelineStore.timeline_version_,ExecutionTransactionBookkeeping,SOURCE_REVIEWED,UNRESOLVED,src/execution/navigation_execution/include/navigation_execution/committed_bundle_store.hpp:823,Cluster is not a field disposition or D_f proof
ExecutionTimelineStore.active_lineage_version_,ActiveExecutionIdentity,SOURCE_REVIEWED,UNRESOLVED,src/execution/navigation_execution/include/navigation_execution/committed_bundle_store.hpp:824,Cluster is not a field disposition or D_f proof
ExecutionTimelineStore.last_transaction_id_,ExecutionTransactionBookkeeping,SOURCE_REVIEWED,UNRESOLVED,src/execution/navigation_execution/include/navigation_execution/committed_bundle_store.hpp:825,Cluster is not a field disposition or D_f proof
ExecutionTimelineStore.world_identity_,CertifiedWorldEvidence,SOURCE_REVIEWED,KEEP,src/execution/navigation_execution/include/navigation_execution/committed_bundle_store.hpp:826,Cluster is not a field disposition or D_f proof
ExecutionTimelineStore.committed_,ActiveExecutionIdentity,SOURCE_REVIEWED,KEEP,src/execution/navigation_execution/include/navigation_execution/committed_bundle_store.hpp:827,Cluster is not a field disposition or D_f proof
ExecutionTimelineStore.pending_,StagedExecution,SOURCE_REVIEWED,KEEP,src/execution/navigation_execution/include/navigation_execution/committed_bundle_store.hpp:828,Cluster is not a field disposition or D_f proof
ExecutionTimelineStore.pending_activation_ns_,StagedExecution,SOURCE_REVIEWED,KEEP,src/execution/navigation_execution/include/navigation_execution/committed_bundle_store.hpp:829,Cluster is not a field disposition or D_f proof
MissionController.mission_,DesiredMissionIntent,SOURCE_REVIEWED,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/mission_controller.hpp:110,Cluster is not a field disposition or D_f proof
MissionController.route_progress_,MeasuredRouteHistory,SOURCE_REVIEWED,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/mission_controller.hpp:111,Cluster is not a field disposition or D_f proof
MissionController.state_,MissionLifecycle,SOURCE_REVIEWED,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/mission_controller.hpp:113,Cluster is not a field disposition or D_f proof
MissionController.active_waypoint_index_,AcceptedMissionProgress,SOURCE_REVIEWED,KEEP,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/mission_controller.hpp:114,Cluster is not a field disposition or D_f proof
MissionController.next_goal_time_s_,MissionLifecycle,SOURCE_REVIEWED,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/mission_controller.hpp:115,Cluster is not a field disposition or D_f proof
MissionController.hold_start_time_s_,TemporalStopConfirmation,SOURCE_REVIEWED,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/mission_controller.hpp:116,Cluster is not a field disposition or D_f proof
MissionController.request_id_,AcceptedMissionProgress,SOURCE_REVIEWED,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/mission_controller.hpp:117,Cluster is not a field disposition or D_f proof
MissionController.braking_start_time_s_,TemporalStopConfirmation,SOURCE_REVIEWED,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/mission_controller.hpp:118,Cluster is not a field disposition or D_f proof
MissionController.braking_end_time_s_,TemporalStopConfirmation,SOURCE_REVIEWED,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/mission_controller.hpp:119,Cluster is not a field disposition or D_f proof
MissionController.stopped_start_time_s_,TemporalStopConfirmation,SOURCE_REVIEWED,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/mission_controller.hpp:120,Cluster is not a field disposition or D_f proof
MissionController.arrival_start_time_s_,TemporalStopConfirmation,SOURCE_REVIEWED,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/mission_controller.hpp:121,Cluster is not a field disposition or D_f proof
MissionController.pending_position_control_,PX4ModeRequest,SOURCE_REVIEWED,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/mission_controller.hpp:122,Cluster is not a field disposition or D_f proof
MissionController.checkpoint_valid_,AcceptedMissionProgress,SOURCE_REVIEWED,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/mission_controller.hpp:123,Cluster is not a field disposition or D_f proof
MissionController.trajectory_ready_,SuccessorReadiness,SOURCE_REVIEWED,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/mission_controller.hpp:124,Cluster is not a field disposition or D_f proof
MissionController.terminal_hold_pending_,SuccessorReadiness,SOURCE_REVIEWED,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/mission_controller.hpp:125,Cluster is not a field disposition or D_f proof
MissionController.previous_position_,MeasuredRouteHistory,SOURCE_REVIEWED,KEEP,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/mission_controller.hpp:126,Cluster is not a field disposition or D_f proof
MissionController.previous_position_time_s_,MeasuredRouteHistory,SOURCE_REVIEWED,KEEP,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/mission_controller.hpp:127,Cluster is not a field disposition or D_f proof
NavigationMode.activation_time_,MissionLifecycle,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:136,Cluster is not a field disposition or D_f proof
NavigationMode.last_setpoint_time_,CommandLease,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:137,Cluster is not a field disposition or D_f proof
NavigationMode.stale_after_s_,TimingConfiguration,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:145,Cluster is not a field disposition or D_f proof
NavigationMode.state_stale_after_s_,TimingConfiguration,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:146,Cluster is not a field disposition or D_f proof
NavigationMode.trajectory_wait_timeout_s_,TimingConfiguration,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:147,Cluster is not a field disposition or D_f proof
NavigationMode.planner_recovery_wait_timeout_s_,ExecutionSafetyDisposition,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:148,Cluster is not a field disposition or D_f proof
NavigationMode.stale_after_ns_,TimingConfiguration,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:149,Cluster is not a field disposition or D_f proof
NavigationMode.state_stale_after_ns_,TimingConfiguration,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:150,Cluster is not a field disposition or D_f proof
