Site,Function,Trigger,Async?,Desired witness,Execution witness,Causal evidence,Mutates what,Classification,Repair
navigation_runtime_node.cpp:4339,runCycle,deferred terminal status,no,desired revision where relevant,exact owner or global scope,deferred terminal status,execution_authority_.invalidate();,EXTERNAL_AUTHORITY_EVENT,retain ordered boundary status gate
navigation_runtime_node.cpp:4341,runCycle,deferred terminal status,no,desired revision where relevant,exact owner or global scope,deferred terminal status,failClosedLocked();,EXTERNAL_AUTHORITY_EVENT,retain ordered boundary status gate
navigation_runtime_node.cpp:4590,runCycle,completion/restart witness,no,desired revision where relevant,exact owner or global scope,completion/restart witness,execution_authority_.clearRestartFromRest();,EXACT_EXECUTION_OWNER,retain atomic exact-owner gate
navigation_runtime_node.cpp:4716,runCycle,completion/restart witness,no,desired revision where relevant,exact owner or global scope,completion/restart witness,execution_authority_.clearRestartFromRest();,EXACT_EXECUTION_OWNER,retain atomic exact-owner gate
navigation_runtime_node.cpp:4939,runCycle,non-retainable new mission intent,no,desired revision where relevant,exact owner or global scope,non-retainable new mission intent,execution_authority_.suspendCommand();,GLOBAL_SAFETY_EVENT,retain synchronous global policy
navigation_runtime_node.cpp:5574,runCycle,planner result fail-close,yes,desired revision where relevant,exact owner or global scope,planner result fail-close,execution_authority_.failClosedIfActiveSnapshot(expected_timeline_at_cycle)) {,STALE_CALLBACK_RISK,exact current execution and causal witness before mutation; stale discard only
navigation_runtime_node.cpp:5674,runCycle,stopped recovery timeout,yes,desired revision where relevant,exact owner or global scope,stopped recovery timeout,execution_authority_.failClosedIfActiveSnapshot(expected_timeline_at_cycle)) {,STALE_CALLBACK_RISK,exact current execution and causal witness before mutation; stale discard only
navigation_runtime_node.cpp:5874,runCycle,successor restart consumed,no,desired revision where relevant,exact owner or global scope,successor restart consumed,if (restart_from_rest) execution_authority_.clearRestartFromRest();,EXACT_EXECUTION_OWNER,retain atomic exact-owner gate
navigation_runtime_node.cpp:7772,validateRetainedCommand,retained command final validation,yes,desired revision where relevant,exact owner or global scope,retained command final validation,failClosedLocked();,EXACT_EXECUTION_OWNER,retain atomic exact-owner gate
navigation_runtime_node.cpp:7780,validateRetainedCommand,retained command final validation,yes,desired revision where relevant,exact owner or global scope,retained command final validation,failClosedLocked();,EXACT_EXECUTION_OWNER,retain atomic exact-owner gate
navigation_runtime_node.cpp:7783,validateRetainedCommand,retained command final validation,yes,desired revision where relevant,exact owner or global scope,retained command final validation,failClosedLocked();,EXACT_EXECUTION_OWNER,retain atomic exact-owner gate
navigation_runtime_node.cpp:7853,validateRetainedCommand,retained command final validation,yes,desired revision where relevant,exact owner or global scope,retained command final validation,failClosedLocked();,EXACT_EXECUTION_OWNER,retain atomic exact-owner gate
navigation_runtime_node.cpp:8124,publishCommand,planner watchdog timeout,yes,desired revision where relevant,exact owner or global scope,planner watchdog timeout,pending_goal_owner_.clearGoal();,STALE_CALLBACK_RISK,exact current execution and causal witness before mutation; stale discard only
navigation_runtime_node.cpp:8126,publishCommand,planner watchdog timeout,yes,desired revision where relevant,exact owner or global scope,planner watchdog timeout,failClosedLocked();,STALE_CALLBACK_RISK,exact current execution and causal witness before mutation; stale discard only
navigation_runtime_node.cpp:8221,publishCommand,localization readiness,yes,desired revision where relevant,exact owner or global scope,localization readiness,failClosedLocked();,LEGITIMATE_RESET,retain global epoch reset
navigation_runtime_node.cpp:8222,publishCommand,localization readiness,yes,desired revision where relevant,exact owner or global scope,localization readiness,pending_goal_owner_.clearGoal();,LEGITIMATE_RESET,retain global epoch reset
navigation_runtime_node.cpp:8238,publishCommand,callback-start state lease,yes,desired revision where relevant,exact owner or global scope,callback-start state lease,failClosedLocked();,STALE_CALLBACK_RISK,exact current execution and causal witness before mutation; stale discard only
navigation_runtime_node.cpp:8265,publishCommand,callback-start state lease,yes,desired revision where relevant,exact owner or global scope,callback-start state lease,failClosedLocked();,STALE_CALLBACK_RISK,exact current execution and causal witness before mutation; stale discard only
navigation_runtime_node.cpp:8266,publishCommand,callback-start state lease,yes,desired revision where relevant,exact owner or global scope,callback-start state lease,pending_goal_owner_.clearGoal();,STALE_CALLBACK_RISK,exact current execution and causal witness before mutation; stale discard only
navigation_runtime_node.cpp:8431,publishCommand,sample activation ACK failure,yes,desired revision where relevant,exact owner or global scope,sample activation ACK failure,execution_authority_.invalidate();,EXACT_EXECUTION_OWNER,retain atomic exact-owner gate
navigation_runtime_node.cpp:8433,publishCommand,sample activation ACK failure,yes,desired revision where relevant,exact owner or global scope,sample activation ACK failure,failClosedLocked();,EXACT_EXECUTION_OWNER,retain atomic exact-owner gate
navigation_runtime_node.cpp:8656,publishCommand,sample ID exhaustion,yes,desired revision where relevant,exact owner or global scope,sample ID exhaustion,execution_authority_.invalidate();,GLOBAL_SAFETY_EVENT,retain synchronous global policy
navigation_runtime_node.cpp:8658,publishCommand,sample ID exhaustion,yes,desired revision where relevant,exact owner or global scope,sample ID exhaustion,failClosedLocked();,GLOBAL_SAFETY_EVENT,retain synchronous global policy
navigation_runtime_node.cpp:9026,publishCommand,final publication state lease,yes,desired revision where relevant,exact owner or global scope,final publication state lease,failClosedLocked();,STALE_CALLBACK_RISK,exact current execution and causal witness before mutation; stale discard only
navigation_runtime_node.cpp:9027,publishCommand,final publication state lease,yes,desired revision where relevant,exact owner or global scope,final publication state lease,pending_goal_owner_.clearGoal();,STALE_CALLBACK_RISK,exact current execution and causal witness before mutation; stale discard only
navigation_runtime_node.cpp:9115,publishCommand,stale sampled publication,yes,desired revision where relevant,exact owner or global scope,stale sampled publication,failClosedLocked();,EXACT_EXECUTION_OWNER,retain atomic exact-owner gate
execution_authority.hpp:406,failClosedIfActiveSnapshot,conditional fail-close,yes,none,active pointer+goal+lineage,caller result,lifecycle failed,STALE_CALLBACK_RISK,reject empty expected/current active; typed outcome
execution_authority.hpp:666,invalidateIfCurrent,conditional revocation,yes,none,timeline version+active pointer,caller failure,active+staged cleared,EXACT_EXECUTION_OWNER,retain version fence
navigation_runtime_node.cpp:1156,world publication finalizer,world recertification/revocation,yes,none,timeline version+expected active/pending,world identity+publication result,conditional active/pending revocation,EXACT_EXECUTION_OWNER,retain atomic world/store transaction
