branch,commit,classification,old_intent,current_equivalent,evidence,action
origin/codex/qualification-product-stability-terminal-temporal-20260924,,CANONICAL_ANCESTOR,Head is an ancestor of pinned candidate.,,head=748b8e3924a0042b975382468d675df4c987a3c2; merge_base=748b8e3924a0042b975382468d675df4c987a3c2; candidate_ahead=19; branch_ahead=0; ancestor=yes,See branch note.
origin/codex/refactor-adapter-admission-control-contract-20260924,,CANONICAL_ANCESTOR,Head is an ancestor of pinned candidate.,,head=68e718d424829201dd53729cab2878348b8722fc; merge_base=68e718d424829201dd53729cab2878348b8722fc; candidate_ahead=41; branch_ahead=0; ancestor=yes,See branch note.
origin/codex/refactor-desired-intent-and-legacy-state-20260923,,CANONICAL_ANCESTOR,Head is an ancestor of pinned candidate.,,head=49e9c0e8c56f39b80e5ad959999ccbd358c1ca64; merge_base=49e9c0e8c56f39b80e5ad959999ccbd358c1ca64; candidate_ahead=59; branch_ahead=0; ancestor=yes,See branch note.
origin/codex/repair-core-mission-execution-liveness-20260923,,CANONICAL_ANCESTOR,Head is an ancestor of pinned candidate.,,head=8ffa14e528f9d28f1a37850eb3a7dbf752f9e90c; merge_base=8ffa14e528f9d28f1a37850eb3a7dbf752f9e90c; candidate_ahead=70; branch_ahead=0; ancestor=yes,See branch note.
origin/codex/repair-failclosed-ownership-fencing-20260924,,CANONICAL_ANCESTOR,Head is an ancestor of pinned candidate.,,head=b640a25d7caf41059d3bcecd4823ceb3b5790bab; merge_base=b640a25d7caf41059d3bcecd4823ceb3b5790bab; candidate_ahead=56; branch_ahead=0; ancestor=yes,See branch note.
origin/codex/shadow-reducer-diagnostic-20260923,,EXPERIMENT_ONLY,Diagnostic experiment; do not merge as product branch.,,head=9b16aa9a7d05d1ec92295d32552d46a1fc6d671a; merge_base=7da3e97cb399c2e39d62cfe60213a45e8a92300e; candidate_ahead=77; branch_ahead=9; ancestor=no,See branch note.
origin/codex/software-qualification-witness-closure-20260925,,CANONICAL_ANCESTOR,Head is an ancestor of pinned candidate.,,head=647a51b060a6b2d0f66b6eb3c69dd990fd20986a; merge_base=647a51b060a6b2d0f66b6eb3c69dd990fd20986a; candidate_ahead=1; branch_ahead=0; ancestor=yes,See branch note.
origin/codex/unify-execution-authority-owner-20260923,,CANONICAL_ANCESTOR,Head is an ancestor of pinned candidate.,,head=ba9c15a1214ca8ba54ec8f301f1e4056a3322848; merge_base=ba9c15a1214ca8ba54ec8f301f1e4056a3322848; candidate_ahead=62; branch_ahead=0; ancestor=yes,See branch note.
origin/codex/world-temporal-contract-hardening-20260925,,CANONICAL_ANCESTOR,Head is an ancestor of pinned candidate.,,head=bbbf34ab550e556e1e722186b2ee87f714b1d60d; merge_base=bbbf34ab550e556e1e722186b2ee87f714b1d60d; candidate_ahead=0; branch_ahead=0; ancestor=yes,See branch note.
origin/main,,CANONICAL_ANCESTOR,Head is an ancestor of pinned candidate.,,head=287b7b84cf4311e31d52ca04796223cc4efc1bc5; merge_base=287b7b84cf4311e31d52ca04796223cc4efc1bc5; candidate_ahead=83; branch_ahead=0; ancestor=yes,See branch note.
origin/codex/close-findings-implementation,1c8191234d59d4cd9a04451b2ef7d78ca40c1e88,EQUIVALENT_BY_NEW_DESIGN,"Steady-cruise support governance: closed-form duration/speed cap, concrete extrema/support checks, bounded abort.",Current closed-form steady duration and speed cap with concrete polynomial validation and support bound.,"backup_braking.hpp:164-192, 350-413; evidence_speed_governor.hpp:57-140; current steady cruise tests.",No cherry-pick; assess later roundoff commit separately.
origin/codex/close-findings-implementation,b8781cd1588fc4e867270834b9fa7ec4765e595e,SUPERSEDED,ExecutionEpisode split desired and active identity and guarded lifecycle transitions.,ExecutionAuthority is the sole active/staged lifecycle owner with typed transitions and focused tests.,Current runtime execution authority implementation and tests.,Do not reintroduce ExecutionEpisode.
origin/codex/close-findings-implementation,12c8352bcbedf49672358964a9c4258fccbdc0bc,EQUIVALENT_BY_CANONICAL_REPAIR,Bounded nextafter duration correction until exact acceleration and jerk limits hold for steady-stop synthesis.,"Physical A/J inequality at represented duration, actual polynomial extrema and finite support checked; bounded 32-step duration correction/cancellation; pinned A/J boundary regressions.",Current backup_braking.hpp:350-413; planning_limits.hpp:84-100; old commit adds exact derivative guard and 32-step correction.,Do not cherry-pick; canonical C1 repair commits c1464a9/c464f67.
origin/codex/close-findings-implementation,c1c04a83782e4bb7a6da78036a3362003b2a53f3,EQUIVALENT_BY_NEW_DESIGN,Move mutable solve inputs to immutable request-owned context.,Current PlanningRequest owns key/goal/anchor/start/route/world/body-support/mission-start/dynamics/budget/cancel context; local target/radius are route-derived and emergency altitude is passed synchronously.,planning_request.hpp:33-103; PlanningWorker immutable WorkItem; runtime request creation. Predecessor-bundle pin is separately assessed in bcff7c96.,No cherry-pick by naming alone; keep the distinct history finding.
origin/codex/close-findings-implementation,0c4039903e4e6fa5455f25cc854f1db635e3288d,OBSOLETE,Correct claim that sampled flatness screen is a continuous-time certificate.,Current comment states sampled pointwise checks are not continuous-time certification.,Current trajectory_dynamics.hpp comment.,No action.
origin/codex/close-findings-implementation,a74ab3249dd2c2f42e9b437885a4e1b4aa55a341,TEST_ONLY,Find installed planner config under AMENT_PREFIX_PATH as well as conventional install root.,Current test only checks conventional workspace install; no runtime/product semantics are changed.,tools/runtime/tests/test_runtime_contract.py install assertion.,Optional test portability debt only.
origin/codex/close-findings-implementation,bcff7c96bea3c54f6a632139e4af4bd8c96e6dab,EQUIVALENT_BY_CANONICAL_REPAIR,Pin immutable previous CandidateBundle in PlanningHistory and use exact predecessor generation/identity/role/kind/declared endpoint for bounded route-regression exception.,Typed request-owned predecessor witness captured from exact ExecutionAuthority bundle and consumed by candidate authorization; mutable warm-start cannot grant emergency route exception; substitution and identity tests.,Current planning_request.hpp:67-79; planner.cpp:736-774; request assembly around navigation_runtime_node.cpp:5399-5404; old commit passes request history into authorization.,Do not cherry-pick; canonical C2 repair commit 6828953.
