Field,Current owner,Semantic meaning,Writer(s),Reader(s),Lifetime,Invalidation,Independent info?,Can derive?,Target action,Target owner,Replacement,Equivalence evidence,Category,Type,Source,Blob
NavigationRuntimeNode.mission_start_position_world_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::optional<Eigen::Vector3d>,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:440,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.mission_start_mission_id_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::string,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:441,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.mission_start_route_revision_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:442,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.mission_start_localization_epoch_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:443,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.executing_goal_,NavigationRuntimeNode,executing goal may lag desired,commit/cutover/reset paths,command publication/exact identity,active execution,cutover/revoke/reset,yes: executing intent,possibly from active bundle plus route payload; proof pending,KEEP,ExecutionAuthority,executing goal may lag desired,navigation_runtime_node.hpp:444-450; .cpp:8595-8615; target equivalence pending,behavioral candidate,std::optional<navigation_contracts::msg::NavigationGoal>,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:447,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.pending_goal_owner_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,PendingGoalHandoffOwner,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:450,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.deferred_terminal_status_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::optional<navigation_contracts::msg::NavigationGoal>,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:453,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.foreign_mission_hold_after_stop_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,bool,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:457,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.foreign_mission_cancel_pending_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_bool,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:458,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.foreign_cancel_target_epoch_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:459,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.foreign_cancel_transition_epoch_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:460,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.foreign_cancel_localization_epoch_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:461,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.active_goal_epoch_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:462,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.active_localization_epoch_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:463,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.localization_epoch_ready_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_bool,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:464,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.last_registered_scan_epoch_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:465,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.last_registered_scan_sequence_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:466,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.last_propagated_state_stamp_ns_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_int64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:467,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.last_propagated_state_sequence_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:468,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.propagated_derivative_estimator_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,KinematicDerivativeEstimator,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:470,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.new_goal_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,bool,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:471,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.hot_goal_transition_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,bool,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:475,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.skip_replan_once_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_bool,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:480,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.baseline_refinement_opportunity_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,BaselineRefinementOpportunity,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:482,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.plan_from_rest_first_failure_steady_ns_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::int64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:483,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.world_freshness_suspended_bundle_generation_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:494,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.world_freshness_suspended_safety_suffix_active_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_bool,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:495,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.command_execution_lease_failure_latch_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,navigation_execution::ExecutionStateFailureLatch,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:499,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.last_execution_boundary_rejection_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_int,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:504,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.last_execution_activation_generation_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:509,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.last_execution_activation_started_steady_ns_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_int64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:510,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.last_execution_activation_finished_steady_ns_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_int64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:511,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.last_execution_activation_result_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_int,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:512,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.last_command_sampled_generation_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:513,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.last_command_sampled_steady_ns_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_int64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:514,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.last_command_sampled_result_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_int,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:515,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.last_watchdog_generation_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:518,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.last_watchdog_event_steady_ns_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_int64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:519,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.command_id_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:523,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.execution_transaction_id_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:524,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.command_goal_epoch_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:525,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.accepting_observations_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_bool,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:526,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.retained_decision_accounting_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,RetainedObservationAccounting,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:534,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.planner_solve_generation_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:535,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.active_planner_solve_generation_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:536,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.timed_out_planner_solve_generation_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:537,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.planner_timeline_activation_generation_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:538,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.queued_planner_timeline_activations_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::deque<std::uint64_t>,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:540,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.planner_solve_started_steady_ns_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::int64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:542,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.trajectory_completion_witness_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::optional<TrajectoryCompletionWitness>,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:554,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.trajectory_reaches_goal_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_bool,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:555,bcd4235d7abe5dcef8730a751760b130f745cac2
NavigationRuntimeNode.terminal_bundle_generation_,NavigationRuntimeNode,requires writer/reader proof,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,not established,source declaration only; transition proof pending,behavioral candidate,std::atomic_uint64_t,src/runtime/navigation_runtime/include/navigation_runtime/navigation_runtime_node.hpp:560,bcd4235d7abe5dcef8730a751760b130f745cac2
